shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape-2214,42.802336,-77.823058,333,7.2273591412544
shape-2214,42.802421,-77.823336,334,7.251930083026648
shape-2214,42.80227,-77.823468,335,7.271877339031263
shape-2214,42.802071,-77.823486,336,7.294053839854968
shape-2214,42.80207,-77.823593,337,7.302784082700645
shape-2214,42.802099,-77.823852,338,7.32415908470829
shape-2214,42.802119,-77.823916,339,7.329834361370371
shape-2214,42.802176,-77.824101,340,7.346204257544706
shape-2214,42.802262,-77.824273,341,7.363185349799271
shape-2214,42.802416,-77.824119,342,7.384424129028356
shape-2214,42.802607,-77.823927,343,7.410814049526816
shape-2214,42.802521,-77.82366,344,7.434603547084733
shape-2214,42.802421,-77.823336,345,7.463280311902163
shape-2214,42.802336,-77.823058,346,7.487851253674411
shape-2214,42.802153,-77.822468,347,7.540110390193751
shape-2214,42.802112,-77.822331,348,7.552181474106353
shape-2214,42.801905,-77.821637,349,7.613300910032078
shape-2214,42.801588,-77.82052,350,7.711010742923829
shape-2214,42.801507,-77.820541,351,7.720179050202753
shape-2214,42.801331,-77.820588,352,7.740121506928918
shape-2214,42.801032,-77.820671,353,7.774051433874823
shape-2214,42.800753,-77.820746,354,7.805672549428673
shape-2214,42.800699,-77.820761,355,7.811800527544024
shape-2214,42.800138,-77.820913,356,7.875401704152476
shape-2214,42.800055,-77.820935,357,7.884803817219383
shape-2214,42.799923,-77.820971,358,7.899772558858317
shape-2214,42.799646,-77.821047,359,7.931191538240157
shape-2214,42.799535,-77.821061,360,7.9435869344581915
shape-2214,42.799458,-77.821044,361,7.952260571766878
shape-2214,42.799389,-77.821003,362,7.960630541915274
shape-2214,42.799287,-77.820898,363,7.9748441905685565
shape-2214,42.799072,-77.820542,364,8.012463046468413
shape-2214,42.799031,-77.82049,365,8.018690735319764
shape-2214,42.798992,-77.820442,366,8.024533950552724
shape-2214,42.798912,-77.820364,367,8.035471553252322
shape-2214,42.798815,-77.8203,368,8.047454960921577
shape-2214,42.798771,-77.820274,369,8.052787627141857
shape-2214,42.798702,-77.820238,370,8.061003088467054
shape-2214,42.798372,-77.820162,371,8.09821770033566
shape-2214,42.798253,-77.82013,372,8.111705033671397
shape-2214,42.798131,-77.820076,373,8.125968356626183
shape-2214,42.798097,-77.820048,374,8.130385615560387
shape-2214,42.798064,-77.820022,375,8.134624109132554
shape-2214,42.798029,-77.819977,376,8.139974485162188
shape-2214,42.797999,-77.81992,377,8.145697784997212
shape-2214,42.797976,-77.819841,378,8.152632224163398
shape-2214,42.797958,-77.819751,379,8.160243200789687
shape-2214,42.79792,-77.81945,380,8.185162605911776
shape-2214,42.797916,-77.819419,381,8.187730703200613
shape-2214,42.797901,-77.819293,382,8.198145460679855
shape-2214,42.797882,-77.819132,383,8.211450254498905
shape-2214,42.79785,-77.81887,384,8.233120950092468
shape-2214,42.797836,-77.818753,385,8.242793081468912
shape-2214,42.798537,-77.818601,386,8.321721240021667
shape-2214,42.799318,-77.818447,387,8.409468842981143
shape-2214,42.799975,-77.818323,388,8.483221202448625
shape-2214,42.800641,-77.818196,389,8.557998491305705
shape-2214,42.800785,-77.818167,390,8.574184446055508
shape-2214,42.800877,-77.818149,391,8.584519265832414
shape-2214,42.800904,-77.81823,392,8.591777738547822
shape-2214,42.800962,-77.818406,393,8.607518708645015
shape-2214,42.801014,-77.81856,394,8.621349576433941
shape-2214,42.80103,-77.818608,395,8.62565088601923
shape-2214,42.801304,-77.819506,396,8.70499736732202
shape-2214,42.80131,-77.819527,397,8.706835979296185
shape-2214,42.801356,-77.819691,398,8.721160348539048
shape-2214,42.801514,-77.820255,399,8.770414389569488
shape-2214,42.801588,-77.82052,400,8.793547354246993
shape-2214,42.801905,-77.821637,401,8.891257187138743
shape-2214,42.802112,-77.822331,402,8.952376623064467
shape-2214,42.802153,-77.822468,403,8.964447706977069
shape-2214,42.802336,-77.823058,404,9.01670684349641
shape-2214,42.802421,-77.823336,405,9.041277785268658
shape-2214,42.80227,-77.823468,406,9.061225041273273
shape-2214,42.802071,-77.823486,407,9.083401542096977
shape-2214,42.80207,-77.823593,408,9.092131784942655
shape-2214,42.802099,-77.823852,409,9.1135067869503
shape-2214,42.802119,-77.823916,410,9.119182063612381
shape-2214,42.802176,-77.824101,411,9.135551959786715
shape-2214,42.802262,-77.824273,412,9.152533052041282
shape-2214,42.802416,-77.824119,413,9.173771831270367
shape-2214,42.802607,-77.823927,414,9.200161751768826
shape-2214,42.802521,-77.82366,415,9.223951249326744
shape-2214,42.802421,-77.823336,416,9.252628014144173
shape-2214,42.802336,-77.823058,417,9.277198955916422
shape-2214,42.802153,-77.822468,418,9.329458092435763
shape-2214,42.802112,-77.822331,419,9.341529176348365
shape-2214,42.801905,-77.821637,420,9.402648612274088
shape-2214,42.801588,-77.82052,421,9.500358445165839
shape-2214,42.801507,-77.820541,422,9.509526752444762
shape-2214,42.801331,-77.820588,423,9.529469209170927
shape-2214,42.801032,-77.820671,424,9.563399136116832
shape-2214,42.800753,-77.820746,425,9.595020251670682
shape-2214,42.800699,-77.820761,426,9.601148229786034
shape-2214,42.800138,-77.820913,427,9.664749406394485
shape-2214,42.800055,-77.820935,428,9.674151519461391
shape-2214,42.799923,-77.820971,429,9.689120261100326
shape-2214,42.799646,-77.821047,430,9.720539240482166
shape-2214,42.799535,-77.821061,431,9.7329346367002
shape-2214,42.799458,-77.821044,432,9.741608274008886
shape-2214,42.799389,-77.821003,433,9.749978244157282
shape-2214,42.799287,-77.820898,434,9.764191892810565
shape-2214,42.799072,-77.820542,435,9.801810748710423
shape-2214,42.799031,-77.82049,436,9.808038437561773
shape-2214,42.798992,-77.820442,437,9.813881652794734
shape-2214,42.798912,-77.820364,438,9.824819255494331
shape-2214,42.798815,-77.8203,439,9.836802663163587
shape-2214,42.798771,-77.820274,440,9.842135329383867
shape-2214,42.798702,-77.820238,441,9.850350790709063
shape-2214,42.798372,-77.820162,442,9.88756540257767
shape-2214,42.798253,-77.82013,443,9.901052735913407
shape-2214,42.798131,-77.820076,444,9.915316058868193
shape-2214,42.798097,-77.820048,445,9.919733317802397
shape-2214,42.798064,-77.820022,446,9.923971811374564
shape-2214,42.798029,-77.819977,447,9.929322187404198
shape-2214,42.797999,-77.81992,448,9.935045487239222
shape-2214,42.797976,-77.819841,449,9.941979926405407
shape-2214,42.797958,-77.819751,450,9.949590903031696
shape-2214,42.79792,-77.81945,451,9.974510308153786
shape-2214,42.797916,-77.819419,452,9.977078405442622
shape-2214,42.797901,-77.819293,453,9.987493162921865
shape-2214,42.797882,-77.819132,454,10.000797956740914
shape-2214,42.79785,-77.81887,455,10.022468652334478
shape-2214,42.797836,-77.818753,456,10.032140783710922
shape-2214,42.797823,-77.818646,457,10.040989783558098
shape-2214,42.797758,-77.818075,458,10.08813503917964
shape-2214,42.797747,-77.817895,459,10.102872109590509
shape-2214,42.797746,-77.817844,460,10.107034692067952
shape-2214,42.797758,-77.817618,461,10.125522277504565
shape-2214,42.797781,-77.817196,462,10.16004815551334
shape-2214,42.797772,-77.816958,463,10.17949236948612
shape-2214,42.797729,-77.816626,464,10.206999047095787
shape-2214,42.797709,-77.816464,465,10.22040243872886
shape-2214,42.798827,-77.816211,466,10.346420675647359
shape-2214,42.799075,-77.816154,467,10.374386451253528
shape-2214,42.799285,-77.816107,468,10.39805018681524
shape-2214,42.799975,-77.81595,469,10.475836718244748
shape-2214,42.800067,-77.815822,470,10.490455586993807
shape-2214,42.80005,-77.815674,471,10.502677544577775
shape-2214,42.800003,-77.815217,472,10.540327350327592
shape-2214,42.799827,-77.81367,473,10.668051097569105
shape-2214,42.799376,-77.809703,474,10.995571576871047
shape-2214,42.799366,-77.809613,475,11.002998211626048
shape-2214,42.799132,-77.80756,476,11.172507607079575
shape-2214,42.799047,-77.806831,477,11.2327318161174
shape-2214,42.799038,-77.806752,478,11.239254530341235
shape-2214,42.79903,-77.806685,479,11.24479286277677
shape-2214,42.798287,-77.806835,480,11.328312347431654
shape-2214,42.797209,-77.807053,481,11.449493116623016
shape-2214,42.79712,-77.807071,482,11.459497861151902
shape-2214,42.797028,-77.80709,483,11.469844603357128
shape-2214,42.79598,-77.807305,484,11.587690034068475
shape-2214,42.795764,-77.80735,485,11.611987200155209
shape-2214,42.795375,-77.80743,486,11.655731838313438
shape-2214,42.795151,-77.807476,487,11.680920742421621
shape-2214,42.795165,-77.807594,488,11.690673821312107
shape-2214,42.795307,-77.808795,489,11.789931496614868
shape-2214,42.795317,-77.80888,490,11.796955504567507
shape-2214,42.795409,-77.809669,491,11.862140339177376
shape-2214,42.795711,-77.812353,492,12.083695706631847
shape-2214,42.795893,-77.813924,493,12.213465565851205
shape-2214,42.795967,-77.81448,494,12.259571217232365
shape-2214,42.796105,-77.815657,495,12.356823689008946
shape-2214,42.796115,-77.815745,496,12.36408940214192
shape-2214,42.796217,-77.816617,497,12.436136164813863
shape-2214,42.796228,-77.816718,498,12.444467250248476
shape-2214,42.796251,-77.816719,499,12.447026038771261
shape-2214,42.796264,-77.816727,500,12.448612115875706
shape-2214,42.796272,-77.816732,501,12.449590762978259
shape-2214,42.796287,-77.816755,502,12.452101474573714
shape-2214,42.796296,-77.816784,503,12.454670573858749
shape-2214,42.796295,-77.816815,504,12.457202370436496
