osmid,y,x,street_count,highway,ref,railway,junction,geometry
4883193330,12.2630767,107.3803939,3,,,,,POINT (107.3803939 12.2630767)
4883193332,12.2604482,107.378924,3,,,,,POINT (107.378924 12.2604482)
4883193346,12.2649848,107.376461,4,,,,,POINT (107.376461 12.2649848)
4883203229,12.2531611,107.3696434,3,,,,,POINT (107.3696434 12.2531611)
4883203231,12.2525248,107.3732489,3,,,,,POINT (107.3732489 12.2525248)
4883203233,12.2525957,107.3781194,3,,,,,POINT (107.3781194 12.2525957)
4883203263,12.2202731,107.4037736,3,,,,,POINT (107.4037736 12.2202731)
4883203265,12.2191703,107.4060231,3,,,,,POINT (107.4060231 12.2191703)
4883231312,12.2638236,107.3623073,3,,,,,POINT (107.3623073 12.2638236)
4883267594,12.2805646,107.3061997,3,,,,,POINT (107.3061997 12.2805646)
4883267723,12.2776033,107.3643451,3,,,,,POINT (107.3643451 12.2776033)
4883271566,12.2826717,107.3677505,3,,,,,POINT (107.3677505 12.2826717)
4883271568,12.2865231,107.3641155,3,,,,,POINT (107.3641155 12.2865231)
4883271570,12.2881915,107.3606602,3,,,,,POINT (107.3606602 12.2881915)
4883277834,12.2835106,107.3502825,3,,,,,POINT (107.3502825 12.2835106)
4883301137,12.0088969,107.3257908,3,,,,,POINT (107.3257908 12.0088969)
4883301151,12.0095438,107.3433926,3,,,,,POINT (107.3433926 12.0095438)
4883301155,12.0212124,107.349741,4,,,,,POINT (107.349741 12.0212124)
4883301178,12.079848,107.3908937,3,,,,,POINT (107.3908937 12.079848)
4883301187,12.0919808,107.4043257,3,,,,,POINT (107.4043257 12.0919808)
4883310666,12.0102889,107.341184,3,,,,,POINT (107.341184 12.0102889)
4883322385,11.980901,107.35552,3,,,,,POINT (107.35552 11.980901)
4883322387,11.9833179,107.353693,3,,,,,POINT (107.353693 11.9833179)
4883322390,11.9878685,107.3541176,3,,,,,POINT (107.3541176 11.9878685)
4883322403,12.0010666,107.3598182,1,,,,,POINT (107.3598182 12.0010666)
4883372806,11.9982588,107.3350779,3,,,,,POINT (107.3350779 11.9982588)
4883398137,11.9712611,107.3479534,1,,,,,POINT (107.3479534 11.9712611)
4883406969,11.9779703,107.4023936,3,,,,,POINT (107.4023936 11.9779703)
4883406974,11.9790828,107.4075219,3,,,,,POINT (107.4075219 11.9790828)
4883408049,11.9835658,107.4150044,1,,,,,POINT (107.4150044 11.9835658)
4884674313,12.213149,107.5628284,3,,,,,POINT (107.5628284 12.213149)
4884674318,12.2239137,107.5586441,3,,,,,POINT (107.5586441 12.2239137)
4884675322,12.2335616,107.5503855,3,,,,,POINT (107.5503855 12.2335616)
4884675323,12.2385822,107.5529163,3,,,,,POINT (107.5529163 12.2385822)
4884675327,12.2442082,107.5449172,3,,,,,POINT (107.5449172 12.2442082)
4884678132,12.2548323,107.5724304,3,,,,,POINT (107.5724304 12.2548323)
