osmid,y,x,street_count,junction,highway,ref,railway,geometry
2395885866,20.977759,107.0194277,3,,,,,POINT (107.0194277 20.977759)
2395885870,20.981744,107.0219275,3,,,,,POINT (107.0219275 20.981744)
2395885872,20.9780245,107.0200004,3,,,,,POINT (107.0200004 20.9780245)
2395885879,20.9793382,107.0178064,3,,,,,POINT (107.0178064 20.9793382)
2395885880,20.9830471,107.0269997,3,,,,,POINT (107.0269997 20.9830471)
2395885883,20.9794494,107.0140164,4,,,,,POINT (107.0140164 20.9794494)
2395885887,20.9775181,107.0137951,3,,,,,POINT (107.0137951 20.9775181)
2395885897,20.9782807,107.0206451,3,,,,,POINT (107.0206451 20.9782807)
2395885899,20.9834126,107.023528,3,,,,,POINT (107.023528 20.9834126)
2395888217,20.9744297,107.0187242,3,,,,,POINT (107.0187242 20.9744297)
2395888227,20.9798428,107.0147312,3,,,,,POINT (107.0147312 20.9798428)
2395888229,20.9808633,107.017632,3,,,,,POINT (107.017632 20.9808633)
2395888231,20.9755165,107.0211656,3,,,,,POINT (107.0211656 20.9755165)
2395888233,20.9798466,107.0159864,4,,,,,POINT (107.0159864 20.9798466)
2395888247,20.9762915,107.0215078,1,,,,,POINT (107.0215078 20.9762915)
2395888253,20.9749266,107.0184807,4,,,,,POINT (107.0184807 20.9749266)
2395888316,20.9733452,107.0163592,3,,,,,POINT (107.0163592 20.9733452)
2395888332,20.980281,107.0173786,3,,,,,POINT (107.0173786 20.980281)
2395888336,20.9804351,107.0173517,3,,,,,POINT (107.0173517 20.9804351)
2395888359,20.9797289,107.0154795,3,,,,,POINT (107.0154795 20.9797289)
2395888371,20.9742041,107.0147644,3,,,,,POINT (107.0147644 20.9742041)
2395888385,20.9798722,107.0148713,3,,,,,POINT (107.0148713 20.9798722)
2395888391,20.9809063,107.01903,3,,,,,POINT (107.01903 20.9809063)
2395888410,20.9812052,107.0192976,3,,,,,POINT (107.0192976 20.9812052)
2395888430,20.9809604,107.0187665,3,,,,,POINT (107.0187665 20.9809604)
2395888469,20.9740026,107.014927,3,,,,,POINT (107.014927 20.9740026)
2395888471,20.9737213,107.0158044,3,,,,,POINT (107.0158044 20.9737213)
2395888473,20.979362,107.0142068,3,,,,,POINT (107.0142068 20.979362)
