osmid,y,x,street_count,highway,ref,junction,railway,geometry
8805284222,21.1692622,105.6711225,1,,,,,POINT (105.6711225 21.1692622)
8805284234,21.1740515,105.6686437,3,,,,,POINT (105.6686437 21.1740515)
8805284241,21.1733228,105.6766131,1,,,,,POINT (105.6766131 21.1733228)
8805284251,21.1841424,105.6855067,3,,,,,POINT (105.6855067 21.1841424)
8805284268,21.1718585,105.6686338,3,,,,,POINT (105.6686338 21.1718585)
8805284284,21.1742118,105.6724396,1,,,,,POINT (105.6724396 21.1742118)
8805284305,21.1699848,105.6684209,3,,,,,POINT (105.6684209 21.1699848)
8805284315,21.1691689,105.6702342,4,,,,,POINT (105.6702342 21.1691689)
8805284323,21.1684362,105.6713745,3,,,,,POINT (105.6713745 21.1684362)
8805284326,21.1638687,105.6679155,1,,,,,POINT (105.6679155 21.1638687)
8805284328,21.1637533,105.6683685,1,,,,,POINT (105.6683685 21.1637533)
8805284331,21.1640407,105.6679949,3,,,,,POINT (105.6679949 21.1640407)
8805284335,21.165788,105.6670854,1,,,,,POINT (105.6670854 21.165788)
8805284338,21.1676561,105.6678297,1,,,,,POINT (105.6678297 21.1676561)
8805284348,21.1668829,105.6670916,3,,,,,POINT (105.6670916 21.1668829)
8805284349,21.1668875,105.6675712,3,,,,,POINT (105.6675712 21.1668875)
8805284352,21.1665496,105.6686182,3,,,,,POINT (105.6686182 21.1665496)
8805286429,21.3141802,105.8146775,3,,,,,POINT (105.8146775 21.3141802)
8805286434,21.3154153,105.815052,1,,,,,POINT (105.815052 21.3154153)
8805286438,21.3147092,105.8151097,3,,,,,POINT (105.8151097 21.3147092)
8805286440,21.3143868,105.8163455,3,,,,,POINT (105.8163455 21.3143868)
8805286445,21.3132126,105.8161015,3,,,,,POINT (105.8161015 21.3132126)
8805286446,21.3133505,105.8158845,3,,,,,POINT (105.8158845 21.3133505)
8805286448,21.3102899,105.8163724,3,,,,,POINT (105.8163724 21.3102899)
8805286461,21.3116186,105.816046,3,,,,,POINT (105.816046 21.3116186)
