vehicle_id,brand,model,engine_type,cc_battery,horsepower,top_speed_kmh,accel_0_100,torque,fuel_type,seats,color,price_usd,vehicle_category,vehicle_type
CAR_0142,Mercedes,Benz E-Class E 350,I4,"1,991 cc",255.0,250.0,5.7 sec,500 Nm,Petrol,5.0,Orange,49000.0,Mid-Range,car
CAR_0143,Mercedes,Benz Gle 350,I4,"1,991 cc",255.0,250.0, 6.1 sec,500 Nm,Petrol,5.0,Silver,53000.0,Mid-Range,car
CAR_0144,Mercedes,Benz Glc 43,V6,"2,996 cc",402.0,250.0,4.7 sec,520 Nm,Petrol,5.0,Black,54000.0,Mid-Range,car
CAR_0145,Mercedes,Benz Gla 45,I4,"1,991 cc",382.0,250.0,4.3 sec,500 Nm,Petrol,5.0,Red,48000.0,Mid-Range,car
CAR_0146,Mercedes,Benz Glc 350,I4,"1,991 cc",255.0,250.0,6.1 sec,500 Nm,Petrol,5.0,Black,46000.0,Mid-Range,car
CAR_0147,Mercedes,Benz Glc 350,I4,"1,991 cc",255.0,250.0,6.1 sec,500 Nm,Petrol,5.0,Blue,46000.0,Mid-Range,car
CAR_0148,Mercedes,Benz Glc 350,I4,"1,991 cc",255.0,250.0,6.1 sec,500 Nm,Petrol,5.0,Grey,46000.0,Mid-Range,car
CAR_0149,Mercedes,Benz Gle 53,V6,"2,996 cc",429.0,250.0,5.2 sec,620 Nm,Petrol,5.0,White,71000.0,Luxury,car
CAR_0150,Mercedes,Benz S-Class S 350,I4,"1,991 cc",255.0,250.0,6.5 sec,500 Nm,Petrol,5.0,Green,90000.0,Luxury,car
CAR_0151,Mercedes,Benz Eqs 53,ELECTRIC MOTOR,,751.0,250.0,3.4 sec,950 Nm,Electric,5.0,Green,102000.0,Luxury,car
CAR_0152,Mercedes,Benz Maybach S 680,V12,"5,980 cc",630.0,250.0,4.7 sec,1000 Nm,Petrol,5.0,Blue,200000.0,Ultra-Luxury,car
CAR_0153,Bmw,M5 Cs,V8,"4,395 cc",627.0,305.0,3.0 sec,750 Nm,Petrol,5.0,Red,142000.0,Luxury,car
CAR_0154,Bmw,M4 Gts,I6,"2,993 cc",493.0,305.0,3.7 sec,600 Nm,Petrol,4.0,Green,133000.0,Luxury,car
CAR_0155,Bmw,M3 Competition,I6,"2,993 cc",503.0,285.0,3.5 sec,650 Nm,Petrol,5.0,Yellow,76000.0,Luxury,car
CAR_0156,Bmw,M2 Cs,I6,"2,993 cc",444.0,280.0,4.0 sec,550 Nm,Petrol,4.0,Grey,83000.0,Luxury,car
CAR_0157,Bmw,X5 M Competition,V8,"4,935 cc",523.0,285.0,4.1 sec,750 Nm,Petrol,5.0,Red,114000.0,Luxury,car
CAR_0158,Bmw,X5 M Competition,V8,"4,935 cc",523.0,285.0,4.1 sec,750 Nm,Petrol,5.0,Grey,114000.0,Luxury,car
CAR_0159,Bmw,X5 M Competition,V8,"4,935 cc",523.0,285.0,4.1 sec,750 Nm,Petrol,5.0,Orange,114000.0,Luxury,car
CAR_0160,Bmw,X3 M Competition,I6,"2,993 cc",503.0,285.0,4.1 sec,650 Nm,Petrol,5.0,Grey,69000.0,Mid-Range,car
CAR_0161,Bmw,M8 Gran Coupe,V8,"4,395 cc",523.0,305.0,3.3 sec,750 Nm,Petrol,5.0,Blue,146000.0,Luxury,car
CAR_0162,Bmw,M850I Drive Coupe,V8,"4,935 cc",523.0,285.0,3.7 sec,750 Nm,Petrol,4.0,Blue,108000.0,Luxury,car
CAR_0163,Bmw,M850I Drive Coupe,V8,"4,935 cc",523.0,285.0,3.7 sec,750 Nm,Petrol,4.0,Orange,108000.0,Luxury,car
CAR_0164,Bmw,M850I Drive Coupe,V8,"4,935 cc",523.0,285.0,3.7 sec,750 Nm,Petrol,4.0,Green,108000.0,Luxury,car
CAR_0165,Rolls Royce,Dawn Black Badge Volante,V12,"6,592 cc",563.0,250.0,4.8 sec,840 Nm,Petrol,4.0,Blue,398000.0,Ultra-Luxury,car
