stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
ho chi minh city_stop_8989603539,Cafe Cát Phượng,,10.736847,106.942351,,
ho chi minh city_stop_8989603536,Ngã tư Hiệp Phước,,10.737436,106.945760,,
ho chi minh city_stop_8989603532,Nhà hàng Xê-un,,10.745025,106.961803,,
ho chi minh city_stop_8989603528,Ngã ba Nhơn Trạch,,10.753044,106.966569,,
ho chi minh city_stop_8989603526,Chùa Quang Minh,,10.756128,106.963561,,
ho chi minh city_stop_8989603524,HĐND Xã Long An,,10.762916,106.960188,,
ho chi minh city_stop_8989603522,Giáo xứ Thái Lạc,,10.769847,106.958282,,
ho chi minh city_stop_8987507274,Phật hội Việt Nam - Hưng Lộc Tự,,10.772592,106.956839,,
ho chi minh city_stop_8987507272,Chợ mới Long Thành,,10.776120,106.954863,,
ho chi minh city_stop_8987507265,Chợ cũ Long Thành,,10.784301,106.950193,,
ho chi minh city_stop_8987507264,Bưu điện Long Thành,,10.787454,106.948510,,
ho chi minh city_stop_8987507259,Trung tâm Văn hóa Huyện Long Thành,,10.791970,106.946526,,
ho chi minh city_stop_8987507262,Kho bạc nhà nước Long Thành,,10.789791,106.947426,,
ho chi minh city_stop_8987507257,Ngã ba Trần Văn Ơn,,10.796767,106.945025,,
ho chi minh city_stop_8987507256,Điện lực Long Thành,,10.799440,106.944584,,
ho chi minh city_stop_8987507247,Ngã ba Tam An,,10.816010,106.943687,,
ho chi minh city_stop_8987507245,Chợ chiều An Phước,,10.820924,106.942227,,
ho chi minh city_stop_8987356897,Tiệm rửa xe Phát Đạt,,10.902904,106.889909,,
ho chi minh city_stop_8987356895,Cửa hàng nệm Vạn Thành,,10.907599,106.890049,,
ho chi minh city_stop_8987356893,2,,10.913566,106.887021,,
ho chi minh city_stop_8987356891,Quán gà Tam Kỳ,,10.915647,106.885087,,
ho chi minh city_stop_8987356889,Đại lý vé máy bay Bảo Sơn,,10.919416,106.883261,,
