trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,pickup_type,drop_off_type
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8989603525,74,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418901,75,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8985418904,76,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356898,77,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8981741288,78,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_11309193598,79,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8979998709,80,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356868,81,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_8987356871,82,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_11873794176,83,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_11870716280,84,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_11870716281,85,0.0,0,0
trip_ho chi minh city_02_0_7,00:00:00,00:00:00,ho chi minh city_stop_11873794178,86,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8985136211,0,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8981741283,1,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8981741281,2,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8981741279,3,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8979998706,4,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8979998707,5,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8981741302,6,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8979998704,7,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8979998710,8,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_9660014340,9,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8979998712,10,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118496,11,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118497,12,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118498,13,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118499,14,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118500,15,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118501,16,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118503,17,0.0,0,0
trip_ho chi minh city_01_0_8,00:00:00,00:00:00,ho chi minh city_stop_8980118504,18,0.0,0,0
