,Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Score
238,TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6",2494,296,180,8.5,"$60,000",Petrol,7,400,
239,TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL",2755,204,175,10.5,"$55,000",Diesel/Petrol,7,500,
240,TOYOTA,INNOVA HYCROSS,2.0L HYBRID,1987,184,165,9.5,"$40,000",Hybrid,7,250,
241,TOYOTA,COASTER,"4.0L,DIESEL",4009,134,120,,"$70,000",Diesel,20,500,
242,TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID",1490,114,170,11,"$25,000",Petrol,5,130,
243,TOYOTA,AYGO X,"1.0L,INLINE-3",998,71,160,14.8,"$18,000",Petrol,4,93,
244,TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL",2755,204,175,10,"$50,000",Diesel,5,500,
245,TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75,136,130,13.5,"$55,000",Electric,7,280,
246,TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID",3456,406,200,6,"$170,000",Petrol,5,500,
247,TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID",1798,134,180,10,"$24,000",Hybrid,5,300,
248,TOYOTA,BZ3,ELECTRIC MOTOR,65,241,160,7.5,"$35,000",Electric,5,340,
